-- ============================================================
-- PIYÈS — Photographie de la base de données 
-- (passée 080826, donc de legeres modifications peuvent avoir eu lieu depuis  )
-- ============================================================

-- Liste des tables et types

| table_name             | column_name             | data_type                   | is_nullable |
| Promotion              | createdAt               | timestamp without time zone | NO          |
| ScheduledPayment       | id                      | text                        | NO          |
| ScheduledPayment       | userId                  | text                        | NO          |
| ScheduledPayment       | title                   | text                        | NO          |
| ScheduledPayment       | counterparty            | text                        | NO          |
| ScheduledPayment       | amount                  | integer                     | NO          |
| ScheduledPayment       | dueDate                 | timestamp without time zone | NO          |
| ScheduledPayment       | status                  | text                        | NO          |
| ScheduledPayment       | type                    | text                        | NO          |
| ScheduledPayment       | frequency               | text                        | NO          |
| ScheduledPayment       | createdAt               | timestamp without time zone | NO          |
| ScheduledPayment       | payerUserId             | text                        | YES         |
| ScheduledPayment       | receiverUserId          | text                        | YES         |
| ScheduledPayment       | reminders               | jsonb                       | YES         |
| ScheduledPayment       | confirmedAt             | timestamp without time zone | YES         |
| ScheduledPayment       | qrToken                 | text                        | YES         |
| ScheduledPayment       | qrExpiresAt             | timestamp without time zone | YES         |
| ScheduledPayment       | updatedAt               | timestamp without time zone | YES         |
| ScheduledPayment       | paidAt                  | timestamp without time zone | YES         |
| ScheduledPayment       | hiddenByUserId          | text                        | YES         |
| Session                | id                      | text                        | NO          |
| Session                | userId                  | text                        | NO          |
| Session                | token                   | text                        | NO          |
| Session                | device                  | text                        | YES         |
| Session                | expiresAt               | timestamp without time zone | NO          |
| Session                | createdAt               | timestamp without time zone | NO          |
| Session                | isVerified              | boolean                     | NO          |
| Session                | otpCode                 | text                        | YES         |
| Session                | otpExpiresAt            | timestamp without time zone | YES         |
| Transaction            | id                      | text                        | NO          |
| Transaction            | type                    | text                        | NO          |
| Transaction            | amount                  | integer                     | NO          |
| Transaction            | description             | text                        | NO          |
| Transaction            | date                    | timestamp without time zone | NO          |
| Transaction            | role                    | text                        | NO          |
| Transaction            | counterpartyName        | text                        | NO          |
| Transaction            | userId                  | text                        | NO          |
| Transaction            | accountId               | text                        | YES         |
| Transaction            | auth_code               | text                        | YES         |
| Transaction            | external_id             | text                        | YES         |
| Transaction            | moncashTransactionId    | text                        | YES         |
| Transaction            | balance_before          | integer                     | YES         |
| Transaction            | balance_after           | integer                     | YES         |
| Transaction            | payment_order_id        | text                        | YES         |
| User                   | id                      | text                        | NO          |
| User                   | name                    | text                        | NO          |
| User                   | tag                     | text                        | NO          |
| User                   | email                   | text                        | YES         |
| User                   | passwordHash            | text                        | NO          |
| User                   | pinHash                 | text                        | YES         |
| User                   | accountNumber           | text                        | NO          |
| User                   | balance                 | integer                     | NO          |
| User                   | mfaEnabled              | boolean                     | NO          |
| User                   | biometricsEnabled       | boolean                     | NO          |
| User                   | verificationStatus      | text                        | NO          |
| User                   | isDeviceVerified        | boolean                     | NO          |
| User                   | phone                   | text                        | YES         |
| User                   | language                | text                        | NO          |
| User                   | createdAt               | timestamp without time zone | NO          |
| User                   | updatedAt               | timestamp without time zone | NO          |
| User                   | avatarUrl               | text                        | YES         |
| User                   | address                 | text                        | YES         |
| User                   | dob                     | text                        | YES         |
| User                   | idNumber                | text                        | YES         |
| User                   | nationality             | text                        | YES         |
| User                   | timezone                | text                        | YES         |
| User                   | initials                | text                        | YES         |
| User                   | firstName               | text                        | YES         |
| User                   | lastName                | text                        | YES         |
| User                   | accountType             | text                        | NO          |
| User                   | deleted                 | text                        | YES         |
| User                   | is_demo                 | boolean                     | YES         |
| User                   | demo_session_id         | text                        | YES         |
| User                   | demo_created_at         | timestamp without time zone | YES         |
| _UserConversations     | A                       | text                        | NO          |
| _UserConversations     | B                       | text                        | NO          |
| journal_entry          | id                      | uuid                        | NO          |
| journal_entry          | posted_at               | timestamp with time zone    | NO          |
| journal_entry          | status                  | text                        | NO          |
| journal_entry          | external_ref            | text                        | YES         |
| journal_entry          | payment_order_id        | uuid                        | YES         |
| journal_entry          | description             | text                        | NO          |
| journal_line           | id                      | uuid                        | NO          |
| journal_line           | journal_entry_id        | uuid                        | NO          |
| journal_line           | ledger_account_id       | uuid                        | NO          |
| journal_line           | direction               | text                        | NO          |
| journal_line           | amount_cents            | bigint                      | NO          |
| ledger_account         | id                      | uuid                        | NO          |
| ledger_account         | code                    | text                        | NO          |
| ledger_account         | name                    | text                        | NO          |
| ledger_account         | type                    | text                        | NO          |
| ledger_account         | currency                | character                   | NO          |
| ledger_account         | customer_user_id        | text                        | YES         |
| ledger_account         | piyes_account_id        | text                        | YES         |
| ledger_account         | piyes_user_id           | text                        | YES         |
| ledger_account         | is_system               | boolean                     | NO          |
| ledger_account         | allow_overdraft         | boolean                     | NO          |
| ledger_account         | created_at              | timestamp with time zone    | NO          |
| ledger_account_balance | ledger_account_id       | uuid                        | NO          |
| ledger_account_balance | balance_cents           | bigint                      | NO          |
| ledger_account_balance | updated_at              | timestamp with time zone    | NO          |
| payment_order          | id                      | uuid                        | NO          |
| payment_order          | idempotency_key         | text                        | YES         |
| payment_order          | customer_user_id        | text                        | NO          |
| payment_order          | type                    | text                        | NO          |
| payment_order          | status                  | text                        | NO          |
| payment_order          | amount_cents            | bigint                      | NO          |
| payment_order          | currency                | character                   | NO          |
| payment_order          | debit_account_id        | uuid                        | NO          |
| payment_order          | credit_account_id       | uuid                        | NO          |
| payment_order          | journal_entry_id        | uuid                        | YES         |
| payment_order          | created_at              | timestamp with time zone    | NO          |
| payment_order          | updated_at              | timestamp with time zone    | NO          |
| piyes_api_key          | id                      | uuid                        | NO          |
| piyes_api_key          | ownerUserId             | text                        | YES         |
| piyes_api_key          | name                    | text                        | NO          |
| piyes_api_key          | apiKeyHash              | text                        | NO          |
| piyes_api_key          | status                  | text                        | NO          |
| piyes_api_key          | lastUsedAt              | timestamp without time zone | YES         |
| piyes_api_key          | revokedAt               | timestamp without time zone | YES         |
| piyes_api_key          | createdAt               | timestamp without time zone | NO          |

-- ============================================================
-- SECTION 1: EXTENSIONS INSTALLÉES
-- ============================================================


| extension_name     | version | relocatable | schema     |
| ------------------ | ------- | ----------- | ---------- |
| pg_stat_statements | 1.11    | true        | extensions |
| pgcrypto           | 1.3     | true        | extensions |
| plpgsql            | 1.0     | false       | pg_catalog |
| supabase_vault     | 0.3.1   | false       | vault      |
| uuid-ossp          | 1.1     | true        | extensions |


-- ============================================================
-- SECTION 2: LISTE COMPLÈTE DES TABLES
-- ============================================================


| table_name             | table_type | column_count |
| ---------------------- | ---------- | ------------ |
| Account                | BASE TABLE | 16           |
| Ad                     | BASE TABLE | 11           |
| BusinessProfile        | BASE TABLE | 9            |
| Card                   | BASE TABLE | 17           |
| Contact                | BASE TABLE | 16           |
| Conversation           | BASE TABLE | 4            |
| Friendship             | BASE TABLE | 6            |
| InternationalTransfer  | BASE TABLE | 17           |
| Key                    | BASE TABLE | 6            |
| Message                | BASE TABLE | 5            |
| Notification           | BASE TABLE | 11           |
| PrivacySettings        | BASE TABLE | 9            |
| Promotion              | BASE TABLE | 9            |
| ScheduledPayment       | BASE TABLE | 19           |
| Session                | BASE TABLE | 9            |
| Transaction            | BASE TABLE | 15           |
| User                   | BASE TABLE | 30           |
| _UserConversations     | BASE TABLE | 2            |
| journal_entry          | BASE TABLE | 6            |
| journal_line           | BASE TABLE | 5            |
| ledger_account         | BASE TABLE | 11           |
| ledger_account_balance | BASE TABLE | 3            |
| payment_order          | BASE TABLE | 12           |
| piyes_api_key          | BASE TABLE | 8            |


-- ============================================================
-- SECTION 3: COLONNES ET TYPES (TOUTES LES TABLES)
-- ============================================================


| table_name             | column_name             | data_type                   | is_nullable | column_default     | udt_name    | character_maximum_length | numeric_precision | numeric_scale |
| ---------------------- | ----------------------- | --------------------------- | ----------- | ------------------ | ----------- | ------------------------ | ----------------- | ------------- |
| Account                | id                      | text                        | NO          | null               | text        | null                     | null              | null          |
| Account                | userId                  | text                        | NO          | null               | text        | null                     | null              | null          |
| Account                | provider                | text                        | NO          | null               | text        | null                     | null              | null          |
| Account                | label                   | text                        | NO          | null               | text        | null                     | null              | null          |
| Account                | balance                 | integer                     | NO          | 0                  | int4        | null                     | 32                | 0             |
| Account                | color                   | text                        | NO          | '#830AD1'::text    | text        | null                     | null              | null          |
| Account                | accountNumber           | text                        | NO          | null               | text        | null                     | null              | null          |
| Account                | logoText                | text                        | NO          | 'P'::text          | text        | null                     | null              | null          |
| Account                | logoUrl                 | text                        | YES         | null               | text        | null                     | null              | null          |
| Account                | status                  | text                        | NO          | 'active'::text     | text        | null                     | null              | null          |
| Account                | createdAt               | timestamp without time zone | NO          | CURRENT_TIMESTAMP  | timestamp   | null                     | null              | null          |
| Account                | updatedAt               | timestamp without time zone | NO          | null               | timestamp   | null                     | null              | null          |
| Account                | isVerified              | boolean                     | NO          | false              | bool        | null                     | null              | null          |
| Account                | kycStatus               | text                        | NO          | 'unverified'::text | text        | null                     | null              | null          |
| Account                | balance_formatted       | text                        | YES         | null               | text        | null                     | null              | null          |
| Account                | permission              | text                        | YES         | 'oui'::text        | text        | null                     | null              | null          |
| Ad                     | id                      | text                        | NO          | null               | text        | null                     | null              | null          |
| Ad                     | userId                  | text                        | NO          | null               | text        | null                     | null              | null          |
| Ad                     | title                   | text                        | NO          | null               | text        | null                     | null              | null          |
| Ad                     | description             | text                        | NO          | null               | text        | null                     | null              | null          |
| Ad                     | price                   | integer                     | NO          | null               | int4        | null                     | 32                | 0             |
| Ad                     | location                | text                        | NO          | null               | text        | null                     | null              | null          |
| Ad                     | category                | text                        | NO          | null               | text        | null                     | null              | null          |
| Ad                     | images                  | text                        | NO          | null               | text        | null                     | null              | null          |
| Ad                     | rating                  | double precision            | NO          | 5.0                | float8      | null                     | 53                | null          |
| Ad                     | views                   | integer                     | NO          | 0                  | int4        | null                     | 32                | 0             |
| Ad                     | createdAt               | timestamp without time zone | NO          | CURRENT_TIMESTAMP  | timestamp   | null                     | null              | null          |
| BusinessProfile        | id                      | text                        | NO          | null               | text        | null                     | null              | null          |
| BusinessProfile        | userId                  | text                        | NO          | null               | text        | null                     | null              | null          |
| BusinessProfile        | companyName             | text                        | YES         | null               | text        | null                     | null              | null          |
| BusinessProfile        | sector                  | text                        | YES         | null               | text        | null                     | null              | null          |
| BusinessProfile        | nif                     | text                        | YES         | null               | text        | null                     | null              | null          |
